Symbol,Date,Profit
NVDA,2004-03-25,-0.06535144349928668
NVDA,2004-11-05,0.33480160960349137
NVDA,2005-02-04,-0.026442290786960698
NVDA,2005-08-30,0.757432383133247
NVDA,2005-11-10,0.44700969152978165
NVDA,2006-01-04,0.3511688174231631
NVDA,2006-03-21,0.025630866526279883
NVDA,2006-10-09,0.04297359394990319
NVDA,2007-06-15,0.2932496093288324
NVDA,2009-02-05,-0.21481474806581669
NVDA,2009-03-11,-0.09929798229251585
NVDA,2009-04-09,-0.24219419975040057
NVDA,2009-07-23,0.11218721633543582
NVDA,2009-12-16,-0.023522291413752394
NVDA,2010-12-07,0.35742308074459794
NVDA,2014-06-13,-0.06672070813330866
NVDA,2014-09-03,-0.05743008911092862
NVDA,2014-11-18,-0.04635333064618952
NVDA,2015-02-12,0.009991673060560924
NVDA,2015-08-10,0.27325496650468084
NVDA,2015-09-25,0.24916124525896644
NVDA,2016-03-18,2.1098040935945206
NVDA,2017-02-07,-0.128310086301612
NVDA,2017-05-10,0.5586456873270931
NVDA,2017-07-21,0.11593971866878716
NVDA,2017-09-15,0.0771989296692912
NVDA,2018-01-08,0.06047891479704659
NVDA,2018-05-09,-0.07321893232834276
NVDA,2018-08-23,-0.08683362000867634
NVDA,2019-03-19,-0.024700012105604907
NVDA,2019-10-15,0.24916591486840578
NVDA,2021-02-10,-0.1597666273785564
NVDA,2021-04-13,0.3486131029573507
NVDA,2021-05-28,0.27816773218023205
NVDA,2021-08-23,-0.007441783292411963
NVDA,2021-10-22,0.2232096850455123
NVDA,2023-01-27,1.0047749577066725
NVDA,2023-08-22,-0.09491792366066054
NVDA,2023-11-20,0.6400928247827475
NVDA,2024-01-08,0.6308085289737495
